featureName,gnisId,gnisClass,county,state,latitude,longitude,elevation,map,bgnDate,entryDate
Town of Topsham,1462228,Civil,Orange,VT,440802N,0721459W,1562,Groton,,9/1/1995
Town of Townshend,1462229,Civil,Windham,VT,430417N,0724008W,1093,Townshend,,9/1/1995
Town of Troy,1462230,Civil,Orleans,VT,445621N,0722257W,961,North Troy,,9/1/1995
Town of Tunbridge,1462231,Civil,Orange,VT,435407N,0722907W,571,Chelsea,,9/1/1995
Town of Underhill,1462232,Civil,Chittenden,VT,443218N,0725310W,1050,Underhill,,9/1/1995
Town of Vernon,1462234,Civil,Windham,VT,424544N,0723133W,358,Brattleboro,,9/1/1995
Town of Vershire,1462235,Civil,Orange,VT,435722N,0721929W,1614,Vershire,,9/1/1995
Town of Victory,1462236,Civil,Essex,VT,443247N,0714911W,1194,Gallup Mills,,9/1/1995
Town of Waitsfield,1462237,Civil,Washington,VT,441053N,0724741W,1037,Waitsfield,,9/1/1995
Town of Walden,1462238,Civil,Caledonia,VT,442853N,0721410W,1880,Joes Pond,,9/1/1995
Town of Wallingford,1462239,Civil,Rutland,VT,432625N,0725640W,2175,Wallingford,,9/1/1995
Town of Waltham,1462240,Civil,Addison,VT,440754N,0731404W,436,Vergennes East,,9/1/1995
Town of Wardsboro,1462241,Civil,Windham,VT,430115N,0724836W,1968,Jamaica,,9/1/1995
Town of Warren,1462242,Civil,Washington,VT,440640N,0725139W,1165,Warren,,9/1/1995
Town of Washington,1462243,Civil,Orange,VT,440416N,0722521W,1939,Washington,,9/1/1995
Town of Waterbury,1462244,Civil,Washington,VT,442306N,0724446W,591,Stowe,,9/1/1995
Town of Waterford,1462245,Civil,Caledonia,VT,442245N,0715625W,1306,Concord,,9/1/1995
Town of Waterville,1462246,Civil,Lamoille,VT,444259N,0724515W,741,Jeffersonville,,9/1/1995
Town of Weathersfield,1462247,Civil,Windsor,VT,432318N,0722818W,1007,Windsor,,9/1/1995
Town of Wells,1462248,Civil,Rutland,VT,432557N,0731123W,1191,Wells,,9/1/1995
Town of West Fairlee,1462249,Civil,Orange,VT,435621N,0721338W,728,Fairlee,,9/1/1995
Town of West Haven,1462252,Civil,Rutland,VT,433804N,0732207W,249,Benson,,9/1/1995
Town of West Rutland,1462256,Civil,Rutland,VT,433650N,0730342W,486,West Rutland,,9/1/1995
Town of West Windsor,1462257,Civil,Windsor,VT,432906N,0722931W,1053,Windsor,,9/1/1995
Town of Westfield,1462250,Civil,Orleans,VT,445248N,0722820W,1795,North Troy,,9/1/1995
Town of Westford,1462251,Civil,Chittenden,VT,443604N,0730017W,466,Essex Center,,9/1/1995
Town of Westminster,1462253,Civil,Windham,VT,430431N,0723040W,892,Westminster West,,9/1/1995
Town of Westmore,1462254,Civil,Orleans,VT,444536N,0720138W,1804,Westmore,,9/1/1995
Town of Weston,1462255,Civil,Windsor,VT,431854N,0724821W,1788,Weston,,9/1/1995
Town of Weybridge,1462258,Civil,Addison,VT,440249N,0731338W,161,Middlebury,,9/1/1995
Town of Wheelock,1462259,Civil,Caledonia,VT,443406N,0720827W,1755,Stannard,,9/1/1995
Town of Whiting,1462260,Civil,Addison,VT,435219N,0731159W,371,Sudbury,,9/1/1995
Town of Whitingham,1462261,Civil,Windham,VT,424700N,0725201W,1903,Jacksonville,,9/1/1995
Town of Williamstown,1462262,Civil,Orange,VT,440634N,0723229W,866,Brookfield,,9/1/1995
Town of Williston,1462263,Civil,Chittenden,VT,442605N,0730522W,604,Essex Junction,,9/1/1995
Town of Wilmington,1462264,Civil,Windham,VT,425235N,0725144W,1526,West Dover,,9/1/1995
Town of Windham,1462265,Civil,Windham,VT,431028N,0724310W,1745,Windham,,9/1/1995
Town of Windsor,1462266,Civil,Windsor,VT,432837N,0722516W,1158,Windsor,,9/1/1995
Town of Winhall,1462267,Civil,Bennington,VT,430944N,0725603W,1814,Peru,,9/1/1995
Town of Wolcott,1462269,Civil,Lamoille,VT,443422N,0722717W,1253,Wolcott,,9/1/1995
Town of Woodbury,1462270,Civil,Washington,VT,442640N,0722424W,1312,Woodbury,,9/1/1995
Town of Woodford,1462271,Civil,Bennington,VT,425258N,0730448W,2241,Woodford,,9/1/1995
Town of Woodstock,1462272,Civil,Windsor,VT,433551N,0723308W,1145,Woodstock South,,9/1/1995
Town of Worcester,1462273,Civil,Washington,VT,442443N,0723426W,1348,Mount Worcester,,9/1/1995
Townsend Corners,1459943,Locale,Windsor,VT,433355N,0723425W,1736,Woodstock South,,10/29/1980
Townshend,1461549,Populated Place,Windham,VT,430250N,0724003W,577,Townshend,,10/29/1980
Townshend Dam,1461707,Locale,Windham,VT,430307N,0724135W,794,Townshend,,11/1/1992
Towtaid (historical),1918912,Populated Place,Addison,VT,435157N,0730627W,443,Brandon,,5/8/2001
