districtCode,officeCode,district,townList,districtImage,members
85,REP,Windham-1,"Guilford, Vernon",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-1.pdf,1
86,REP,Windham-2-1,Brattleboro,http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-2-1.pdf,1
87,REP,Windham-2-2,Brattleboro,http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-2-2.pdf,1
88,REP,Windham-2-3,Brattleboro,http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-2-3.pdf,1
89,REP,Windham-3,"Athens, Brookline, Grafton, Rockingham, Westminster, Windham",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-3.pdf,2
90,REP,Windham-4,"Dummerston, Putney, Westminster",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-4.pdf,2
91,REP,Windham-5,"Marlboro, Newfane, Townshend",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-5.pdf,1
92,REP,Windham-6,"Halifax, Whitingham, Wilmington",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-6.pdf,1
93,REP,Windham-Bennington,"Dover, Readsboro, Searsburg, Somerset, Stamford, Wardsboro, Whitingham",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-BEN.pdf,1
94,REP,Windham-Bennington-Windsor,"Jamaica, Londonderry, Stratton, Weston, Winhall",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDH-BEN-WDR.pdf,1
95,REP,Windsor-1,"Hartland, West Windsor, Windsor",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-1.pdf,2
96,REP,Windsor-2,"Cavendish, Weathersfield",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-2.pdf,1
97,REP,Windsor-3-1,"Andover, Baltimore, Chester, Springfield",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-3-1.pdf,1
98,REP,Windsor-3-2,Springfield,http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-3-2.pdf,2
99,REP,Windsor-4-1,"Barnard, Hartford, Pomfret",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-4-1.pdf,1
100,REP,Windsor-4-2,Hartford,http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-4-2.pdf,2
101,REP,Windsor-5,"Plymouth, Reading, Woodstock",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-5.pdf,1
102,REP,Windsor-Orange-1,"Royalton, Tunbridge",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-ORA-1.pdf,1
103,REP,Windsor-Orange-2,"Norwich, Sharon, Strafford, Thetford",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-ORA-2.pdf,2
104,REP,Windsor-Rutland,"Bethel, Pittsfield, Rochester, Stockbridge",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WDR-RUT.pdf,1
105,SEN,Addison,,,
106,SEN,Bennington,,,
107,SEN,Caledonia,,,
108,SEN,Chittenden,,,
109,SEN,Chittenden-Grand Isle,,,
110,SEN,Essex-Orleans,,,
111,SEN,Franklin,,,
112,SEN,Lamoille,,,
113,SEN,Orange,,,
114,SEN,Rutland,,,
115,SEN,Washington,,,
116,SEN,Windham,,,
117,SEN,Windsor,,,
118,GOV,Statewide,,,
119,LGOV,Statewide,,,
